condition,backbone,accuracy,macro_f1,mean_max_confidence,prediction_consistency,cosine_stability
translate_right_32,resnet50,0.966,0.9659487297891406,0.86995076435124,0.976,0.9229488025976018
translate_right_32,vit_b16,0.97,0.9698897620854524,0.9391967560069576,0.986,0.94680823756482
translate_right_32,clip_vit_b32,0.958,0.9573201732217909,0.19831777195963537,0.972,0.9605358088748772
translate_right_32,clip_vit_b32_zero_shot,0.916,0.9126218513445636,0.9192777596608737,0.954,0.9605358088748772
translate_up_32,resnet50,0.972,0.9720546508782046,0.8764451848316441,0.99,0.934157769265486
translate_up_32,vit_b16,0.978,0.9779963869136015,0.9381718382354246,0.988,0.9408315613083087
translate_up_32,clip_vit_b32,0.958,0.9574264610096506,0.20032447967398054,0.972,0.9728860793209262
translate_up_32,clip_vit_b32_zero_shot,0.926,0.9229302662003895,0.9196470644743011,0.956,0.9728860793209262
translate_down_32,resnet50,0.98,0.9799273355623423,0.8741536510968674,0.984,0.9310004130140989
translate_down_32,vit_b16,0.976,0.9760142239914267,0.9428166421661183,0.99,0.9392725500131973
translate_down_32,clip_vit_b32,0.956,0.9554869346700972,0.19915730419490435,0.974,0.9719767095703017
translate_down_32,clip_vit_b32_zero_shot,0.928,0.9249994533701485,0.9224068451433126,0.97,0.9719767095703017
clean,resnet50,0.982,0.9819769849734072,0.8840730131619413,1.0,1.0
clean,vit_b16,0.984,0.9840164006796837,0.9483633791502097,1.0,1.0
clean,clip_vit_b32,0.976,0.9756669958906204,0.20734733045365356,1.0,1.0
clean,clip_vit_b32_zero_shot,0.948,0.945935498445888,0.9343986711963008,1.0,1.0
